ID: 100101 | 遊戲名: 日和 | Profile名: 日和 | 聲優: 東山奈央 | 種族: 獸人族 | 公會: 破曉之星
ID: 100201 | 遊戲名: 優衣 | Profile名: 優衣 | 聲優: 種田梨沙 | 種族: 人族 | 公會: 破曉之星
ID: 100301 | 遊戲名: 怜 | Profile名: 怜 | 聲優: 早見沙織 | 種族: 魔族 | 公會: 破曉之星
ID: 100401 | 遊戲名: 禊 | Profile名: 禊 | 聲優: 諸星すみれ | 種族: 人族 | 公會: 小小甜心
ID: 100501 | 遊戲名: 茉莉 | Profile名: 茉莉 | 聲優: 下田麻美 | 種族: 獸人族 | 公會: 王宮騎士團
ID: 100601 | 遊戲名: 茜里 | Profile名: 茜里 | 聲優: 浅倉杏美 | 種族: 魔族 | 公會: 惡魔偽王國軍
ID: 100701 | 遊戲名: 宮子 | Profile名: 宮子 | 聲優: 雨宮天 | 種族: 魔族 | 公會: 惡魔偽王國軍
ID: 100801 | 遊戲名: 雪 | Profile名: 雪 | 聲優: 大空直美 | 種族: 精靈族 | 公會: 純白之翼 蘭德索爾分部
ID: 100901 | 遊戲名: 杏奈 | Profile名: 杏奈 | 聲優: 髙野麻美 | 種族: 魔族 | 公會: 暮光流星群
ID: 101001 | 遊戲名: 真步 | Profile名: 真步 | 聲優: 内田真礼 | 種族: 獸人族 | 公會: 哞哞自衛隊
ID: 101101 | 遊戲名: 璃乃 | Profile名: 璃乃 | 聲優: 阿澄佳奈 | 種族: 人族 | 公會: 拉比林斯
ID: 101201 | 遊戲名: 初音 | Profile名: 初音 | 聲優: 大橋彩香 | 種族: 精靈族 | 公會: 森林守衛
ID: 101301 | 遊戲名: 七七香 | Profile名: 七七香 | 聲優: 佳村はるか | 種族: 魔族 | 公會: 暮光流星群
ID: 101401 | 遊戲名: 霞 | Profile名: 霞 | 聲優: 水瀬いのり | 種族: 獸人族 | 公會: 哞哞自衛隊
ID: 101501 | 遊戲名: 美里 | Profile名: 美里 | 聲優: 國府田マリ子 | 種族: 精靈族 | 公會: 森林守衛
ID: 101601 | 遊戲名: 鈴奈 | Profile名: 鈴奈 | 聲優: 上坂すみれ | 種族: 魔族 | 公會: 月光學院
ID: 101701 | 遊戲名: 香織 | Profile名: 香織 | 聲優: 高森奈津美 | 種族: 獸人族 | 公會: 哞哞自衛隊
ID: 101801 | 遊戲名: 伊緒 | Profile名: 伊緒 | 聲優: 伊藤静 | 種族: 魔族 | 公會: 月光學院
ID: 102001 | 遊戲名: 美美 | Profile名: 美美 | 聲優: 日高里菜 | 種族: 獸人族 | 公會: 小小甜心
ID: 102101 | 遊戲名: 胡桃 | Profile名: 胡桃 | 聲優: 植田佳奈 | 種族: 人族 | 公會: 咲戀育幼院
